order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price,country
100241,2025-02-16,C00260,P00033,Running Shoes,Sportswear,2,81.39,Italy
100363,2025-03-23,C00208,P00815,Cookbook,Books,2,25.3,United Kingdom
100111,2025-08-19,C00125,P00612,Backpack,Accessories,2,45.66,Italy
100239,2025-11-20,C00156,P00678,Office Chair,Furniture,2,185.14,Germany
100068,2025-10-02,C00170,P00452,Laptop,Electronics,1,784.56,United States
100456,2025-08-25,C00119,P00033,Running Shoes,Sportswear,2,80.74,France
100194,2025-08-21,C00047,P00815,Cookbook,Books,1,25.7,Belgium
100065,2025-01-20,C00241,P00045,Tablet,Electronics,1,396.38,United Kingdom
100091,2025-10-27,C00011,P00612,Backpack,Accessories,2,47.21,Spain
100376,2025-07-13,C00193,P00311,Mechanical Keyboard,Electronics,2,90.2,Belgium
100476,2025-10-29,C00180,P00967,Notebook Set,Stationery,2,9.05,Spain
100215,2025-02-28,C00143,P00871,Vacuum Cleaner,Home Appliances,1,200.72,Spain
100428,2025-06-07,C00228,P00522,Desk Lamp,Furniture,3,24.37,France
100285,2025-04-03,C00280,P00789,Standing Desk,Furniture,1,353.37,France
100385,2025-10-22,C00164,P00871,Vacuum Cleaner,Home Appliances,2,197.84,Belgium
100245,2025-08-13,C00269,P00399,Coffee Maker,Home Appliances,2,92.25,Germany
100093,2025-04-23,C00250,P00045,Tablet,Electronics,1,397.32,Spain
100322,2025-05-27,C00275,P00452,Laptop,Electronics,3,818.35,Spain
100438,2025-06-10,C00091,P00033,Running Shoes,Sportswear,4,80.93,France
100446,2025-10-02,C00044,P00087,27-inch Monitor,Electronics,3,247.82,Belgium
100316,2025-06-13,C00124,P00846,Dumbbell Set,Sportswear,1,58.7,Spain
100123,2025-12-24,C00065,P00733,Novel - Fiction,Books,3,13.28,Spain
100430,2025-07-01,C00284,P00311,Mechanical Keyboard,Electronics,2,91.95,Portugal
100481,2025-05-07,C00202,P00256,Water Bottle,Sportswear,1,15.1,Belgium
100177,2025-12-04,C00071,P00733,Novel - Fiction,Books,1,12.63,Belgium
100337,2025-02-01,C00071,P00399,Coffee Maker,Home Appliances,1,90.87,Germany
100421,2025-10-04,C00170,P00033,Running Shoes,Sportswear,3,82.33,France
100191,2025-05-24,C00017,P00967,Notebook Set,Stationery,1,9.23,Spain
100312,2025-11-18,C00280,P00789,Standing Desk,Furniture,2,344.63,Germany
